,Unnamed: 0,nickname,rating,title,voice,author,review,created,publish,genre,length
0,0,유노창민,100,저스트 어 모멘트,이나리,이경화,잘들었습니다.,2020.11.06,탐,소설문학,7
6,6,이뿐똥꼬킹,100,[단편] 헤엄치는 밤,최인영,한유주,굿입니다,2020.10.28,미디어창비,소설문학,4
7,7,청솔모,100,[단편] 헤엄치는 밤,최인영,한유주,참 좋아요.,2020.10.28,미디어창비,소설문학,6
8,8,Sangyub,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.28,미디어창비,소설문학,3
10,10,니체짱,100,[단편] 헤엄치는 밤,최인영,한유주,단편 감사해요,2020.10.27,미디어창비,소설문학,7
11,11,마르크그라프,100,[단편] 헤엄치는 밤,최인영,한유주,잘들었습니다,2020.10.27,미디어창비,소설문학,6
12,12,sksacyhpar,100,[단편] 헤엄치는 밤,최인영,한유주,잘들었습니다,2020.10.27,미디어창비,소설문학,6
13,13,Chivarly,100,[단편] 헤엄치는 밤,최인영,한유주,잘 들어보겠습니다,2020.10.27,미디어창비,소설문학,9
15,15,중국와이파이,100,[단편] 헤엄치는 밤,최인영,한유주,잘 들었습니다,2020.10.27,미디어창비,소설문학,7
17,17,yuj0715,100,[단편] 헤엄치는 밤,최인영,한유주,잘들었어요,2020.10.27,미디어창비,소설문학,5
20,20,세인트케이,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.26,미디어창비,소설문학,3
22,22,꼭안아주세요,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.26,미디어창비,소설문학,3
23,23,shinmg1209,100,[단편] 헤엄치는 밤,최인영,한유주,잘들었습니다,2020.10.26,미디어창비,소설문학,6
24,24,소리를먹는다,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.26,미디어창비,소설문학,3
25,25,겁나빠른달팽이,100,[단편] 헤엄치는 밤,최인영,한유주,감사합니다,2020.10.26,미디어창비,소설문학,5
27,27,마임,100,[단편] 헤엄치는 밤,최인영,한유주,잘들었습니다,2020.10.26,미디어창비,소설문학,6
28,28,cowboybaby,100,[단편] 헤엄치는 밤,최인영,한유주,잘 들었습니다,2020.10.25,미디어창비,소설문학,7
29,29,니나노니니노,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.25,미디어창비,소설문학,3
33,33,익산군,100,[단편] 헤엄치는 밤,최인영,한유주,잘듣고갑니다,2020.10.25,미디어창비,소설문학,6
34,34,pknu80,100,[단편] 헤엄치는 밤,최인영,한유주,잘 들었습니다,2020.10.24,미디어창비,소설문학,7
35,35,심심한걸,100,[단편] 헤엄치는 밤,최인영,한유주,잘들을께여,2020.10.24,미디어창비,소설문학,5
36,36,블루윙즈95,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.24,미디어창비,소설문학,3
37,37,벅스턴,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.24,미디어창비,소설문학,3
38,38,마리에서,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.24,미디어창비,소설문학,3
39,39,biotite,100,[단편] 헤엄치는 밤,최인영,한유주,잘 들었습니다,2020.10.24,미디어창비,소설문학,7
41,41,ungshin,100,[단편] 헤엄치는 밤,최인영,한유주,잘들을께요,2020.10.24,미디어창비,소설문학,5
