,event_name,evnet_start,event_end
0,<바람과 함께 사라지다> 오디오북 무료 연재 구독 이벤트,2020.10.22,2020.12.01
3,오바마 낭독 신작 회고록 오디오북 단독 공개&특별할인!,2020.11.20,2020.11.30
7,<나는 왜 네 말이 힘들까> 저자 낭독 콤팩트 오디오북 90% 할인,2020.11.19,2020.11.25
9,정유정 작가 장편소설 <28> 오디오북 90% 할인,2020.11.14,2020.11.20
11,<부의 확장> 오디오북 90% 할인!,2020.11.07,2020.11.13
13,[듣는 연재] 공지영 작가 채널 구독 & 응원 댓글 이벤트! ,2020.10.15,2020.11.08
16,[듣는 연재 소설] 문지혁 작가 완청 미션 이벤트! ,2020.10.06,2020.11.02
20,혜림이 쓰고 읽는 <여전히 헤엄치는 중이지만> 오디오북 90% 할인,2020.10.22,2020.10.28
27,"배우 김영옥 낭독, 동화 오디오북 할인 이벤트",2020.09.30,2020.10.06
33,"[듣는 연재 소설] 임경선 작가 신작, 완청 미션 이벤트!",2020.09.01,2020.09.30
37,손원평의 '프리즘' 오디오북 출시 이벤트,2020.09.11,2020.09.24
41,손원평 신작 장편소설 '프리즘' 오디오북 출간 전 연재,2020.08.27,2020.09.10
43,"[듣는 연재 소설] 김금희 작가 신작, 완청 미션 이벤트!",2020.08.03,2020.08.31
64,"[듣는 연재 시] 이병률 시인 신작, 완청 미션 이벤트!",2020.07.06,2020.07.31
65,이영도 '눈물을 마시는 새' 오디오북 출시 기념 이벤트,2020.07.08,2020.07.31
71,"김애란, <바깥은 여름> 오디오북 90% 할인",2020.06.26,2020.07.02
73,"김영하, <빛의 제국> 오디오북 90% 할인",2020.06.29,2020.07.02
74,"[듣는 연재 소설] 김연수 작가 신작, 완청 미션 이벤트!",2020.06.01,2020.06.30
75,<마당을 나온 암탉> 오디오북 70% 할인,2020.06.17,2020.06.30
77,<보통의 언어들> 오디오북 90% 할인,2020.06.22,2020.06.28
89,영어 오디오북 90% 대여 할인 이벤트,2020.05.25,2020.05.31
90,오디오북 월간 할인쿠폰 EVENT <책 듣는 습관이 나를 만든다>,2020.05.14,2020.05.31
91,김영하 '나는 나를 파괴할 권리가 있다' 오디오북 90% 할인 이벤트,2020.05.22,2020.05.28
92,전승환 '내가 원하는 것을 나도 모를 때' 오디오북 90% 할인 이벤트,2020.05.21,2020.05.27
93,박완서 '그 여자네 집' 오디오북 90% 할인 이벤트,2020.05.16,2020.05.22
94,박상영 '알려지지 않은 예술가의 눈물과 자이툰 파스타' 오디오북 90% 할인 이벤트,2020.05.15,2020.05.21
95,법정스님 '스스로 행복하라' 오디오북 90% 할인 이벤트,2020.05.14,2020.05.20
96,구병모 '단 하나의 문장' 오디오북 90% 할인 이벤트,2020.05.08,2020.05.14
97,정혜신 '당신이 옳다' 오디오북 90% 할인 이벤트,2020.05.07,2020.05.13
100,김훈 '연필로 쓰기' 오디오북 90% 할인 이벤트,2020.04.30,2020.05.06
101,민음사 세계문학전집 오디오북 론칭 릴레이,2020.04.27,2020.05.03
103,'앵무새 죽이기' 오디오북 90% 할인 이벤트,2020.04.25,2020.05.01
105,'내게 무해한 사람' 오디오북 90% 할인 이벤트,2020.04.17,2020.04.23
106,'오늘 밤은 굶고 자야지' 오디오북 90% 할인 이벤트,2020.04.16,2020.04.22
107,'개인주의자 선언' 오디오북 90% 할인 이벤트,2020.04.13,2020.04.19
108,'오직 두 사람' 오디오북 90% 할인 이벤트,2020.04.10,2020.04.16
