,nickname,created,review,title,author,voice
0,레몬소다,6일 전,너무 많은 인물들이 죽어서 슬프네요 개들과 다시 설원을 달리는 해피 엔딩이되길바랬는데 ㅠㅠ,28,정유정,김연아 외 4인
1,심,2020-11-21 01:28,오디오북을 쭉 이용해 보니 좋아하는 작품을 다시읽기 참 좋더라구요. 그래서 성우님이 나에게 잘 맞는게 중요함을 매번 느낍니다.많은 오디오 북을 들었는데 성우님들 정말 좋았어요작품을 실감나게 만들어 주셨습니다!이제 성우님들 이름도 번역자처럼 살펴보게 됩니다,28,정유정,김연아 외 4인
2,진진,2020-11-18 09:14,처음엔 재밌어으나 들으면 들을수록 마음이 아파요. 이세상에서 언젠가는 벌어질일이라고 생각하니... 실제 같은 씁쓸함 무엇.. 잔인쓰ㅠㅠ,28,정유정,김연아 외 4인
3,CharmingMI,2020-11-16 23:20,주말동안 다 못들어서 결국 대여했다능 ......이미 책으로 읽었지만 오디오북으로 들으니 또 새롭네요,28,정유정,김연아 외 4인
4,wbkkkk,2020-11-16 01:44,예전에 출간되자마자 책으로 읽었었는데이렇게 귀로 들으니깐 더 흡입력이 좋은거 같아요.2일동안 틈틈이 듣다가... 결국 대여해서...다시 처음부터 또 듣고 있어요.성우님들 최고. 정유정 작가님은 언제나 최고.,28,정유정,김연아 외 4인
5,박성준,2020-11-15 23:38,12시가 되기 전에 다 듣느라 전력질주 한 기분입니다 . 좋은 작품 감사합니다,28,정유정,김연아 외 4인
6,o21c****,2020-11-15 23:09,7년 전에 이런 소설이 있었군요.주말 내내 이야기 잘 들었습니다.,28,정유정,김연아 외 4인
7,푸리,2020-11-15 23:05,너무 흥미진진해서 정지를 누를 수 없었던 이틀이었어요.스토리와 성우님들의 연기에 영화 한 편을 보는 듯 했습니다.문형진성우님 목소리 쏘스윗~,28,정유정,김연아 외 4인
8,좋좋아하니까,2020-11-15 23:02,흡입력 장난 아니에요. 정말 재밌게 잘 들었어요. 서재영 이 바람같은 사람 ㅜㅜ..,28,정유정,김연아 외 4인
9,빅시스터,2020-11-15 22:27,완전~재미있었어요!!!!! 내용이 궁금해서 멈출 수가 없어서 어제  오늘 방콕하며 완청했어요. 근데 밖을 보니 밤이 됐네요ㅜㅜ  그래도 정말 최고였어요♡,28,정유정,김연아 외 4인
10,ss9,2020-11-15 22:05,역시 정유정 작가님 소설이구나! 에 성우분들의 실감나는 연기와 목소리로 이틀을 꼬박 소설속에서 함께 있는것 같았습니다. 오디오북클럽에도 감사드려요.,28,정유정,김연아 외 4인
11,Next Frontier,2020-11-15 19:49,"와.. 스토리도 좋지만, 읽어주시는 성우분 목소리도 좋아서 몰입감이 최고입니다. 이틀에 걸쳐 잘 들었습니다. 좋은 작품 감사합니다.",28,정유정,김연아 외 4인
12,긍정미소,2020-11-15 16:32,바이러스로 고립되고 의도적 소통단절로 고통을 겪는 화양시 시민들을 보면서 광주의 아픔이 오버랩되어 너무나 안타깝게 느껴졌습니다.ㅠㅠ,28,정유정,김연아 외 4인
13,xhfhfhxh,2020-11-15 15:44,2-1.2장에 나오는 애기 목소리 너무 징그러워요 ㅠㅠ 가만히 듣다가 호러인줄 깜짝 ㅠㅠ,28,정유정,김연아 외 4인
14,좋좋아하니까,2020-11-15 13:52,동해! 이자식!! 과장은 애를 왜 저렇게 키워서 남에게 피해를 주는지 소설인데도 너무 화가 나요.,28,정유정,김연아 외 4인
15,곰돌,2020-11-14 19:44,목소리가 너무 좋아요,28,정유정,김연아 외 4인
