,event_name,event_period,event_book
0,[살고 싶다는 농담]오디오북 리뷰 이벤트!,2020.10.30~2020.11.05,살고 싶다는 농담
1,[들어본 이야기]오디오북 이벤트!,2020.10.23~2020.10.29,들어본 이야기
2,[초등 감정 사용법] 오디오북 리뷰 이벤트!,2020.10.16~2020.10.22,초등 감정 사용법
3,[나는 왠지 대박날 것만 같아]오디오북 이벤트,2020.10.09~2020.10.15,나는 왠지 대박날 것만 같아!
4,추석맞이 오디오북 이벤트~!,2020.09.30~2020.10.04,당신의 슬픔을 훔칠게요
5,추석맞이 오디오북 이벤트~!,2020.09.30~2020.10.04,[성진환 낭독] 나조차 나를 사랑하지 못하고
6,추석맞이 오디오북 이벤트~!,2020.09.30~2020.10.04,일 잘하는 사람은 단순하게 합니다
7,추석맞이 오디오북 이벤트~!,2020.09.30~2020.10.04,블랙코미디
8,추석맞이 오디오북 이벤트~!,2020.09.30~2020.10.04,어쩌면 내가 가장 듣고 싶었던 말 (요약)
9,세계문학 오디오북 리뷰 이벤트,2020.09.18~2020.09.24,두 도시 이야기(요약본)
10,세계문학 오디오북 리뷰 이벤트,2020.09.18~2020.09.24,위대한 유산(요약본)
11,세계문학 오디오북 리뷰 이벤트,2020.09.18~2020.09.24,오만과 편견(요약본)
12,세계문학 오디오북 리뷰 이벤트,2020.09.18~2020.09.24,적과 흑(요약본)
13,세계문학 오디오북 리뷰 이벤트,2020.09.18~2020.09.24,겨울이야기(요약본)
14,세계문학 오디오북 리뷰 이벤트,2020.09.18~2020.09.24,순수의 시대(요약본)
15,세계문학 오디오북 리뷰 이벤트,2020.09.18~2020.09.24,전쟁과 평화(요약본)
16,[미스터리 오디오북 퀴즈 이벤트],2020.09.04~2020.09.10,슬리피 할로우의 전설
17,[미스터리 오디오북 퀴즈 이벤트],2020.09.04~2020.09.10,고전 공포 걸작선
18,[미스터리 오디오북 퀴즈 이벤트],2020.09.04~2020.09.10,J. 하버쿡 젭슨의 진술
19,데일 카네기 인간관계론 오디오북 이벤트!,2020.08.14~2020.08.20,데일 카네기 인간관계론
20,「좀머 씨 이야기」오디오북 구독 이벤트 !,2020.08.07~2020.08.13,좀머 씨 이야기
21,3.1절 특별 기획 '제국대학의 조센징' 오디오북 구독 이벤트,2020.03.01~2020.03.07,[강연형] 제국대학의 조센징
22,EBS 세계문학전집을 오디오북으로 만나보세요.,2020.02.19~2020.02.26,[EBS 세계문학전집] 걸리버 여행기
23,EBS 세계문학전집을 오디오북으로 만나보세요.,2020.02.19~2020.02.26,[EBS 세계문학전집] 장발장
24,EBS 세계문학전집을 오디오북으로 만나보세요.,2020.02.19~2020.02.26,[EBS 세계문학전집] 15소년 표류기
25,오디오북 <어른이 되면 괜찮을줄 알았다>,2019.12.05~2019.12.11,어른이 되면 괜찮을 줄 알았다
