,nickname,rating,title,voice,author,review,created,publish
0,로신123,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,3권은 언제쯤 나올까요?,2019.11.17,커뮤니케이션북스
1,liu43220,80,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,앤 시리즈 8권이 다 번역되는 그날까지 기다립니다.,2019.09.18,커뮤니케이션북스
2,이지니니지,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,"빨간머리앤 시리즈 다 읽어보고 싶었는데, 이렇게 들을 수 있으니 너무 좋아요. 다음편도 기대할게요!",2019.06.27,커뮤니케이션북스
3,miltaiji,90,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,이지혜님 목소리가좋아요,2019.06.14,커뮤니케이션북스
4,peaceap,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,좋아요 잘들을께요,2019.06.08,커뮤니케이션북스
5,aaawecd1,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,듣기 편하네요. 재밌어요.,2019.06.08,커뮤니케이션북스
6,복돌보리,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,목소리가 좋네요,2019.06.08,커뮤니케이션북스
7,장돌목공,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,좋아요,2019.06.07,커뮤니케이션북스
8,jjmview,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,Good,2019.06.07,커뮤니케이션북스
9,jmview,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,좋아요,2019.06.07,커뮤니케이션북스
10,tokra,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,잘 들을게요,2019.06.06,커뮤니케이션북스
11,itself,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,좋아요,2019.06.06,커뮤니케이션북스
12,eunnicho,90,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,좋아요,2019.06.06,커뮤니케이션북스
13,송송이맘,90,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,"새롭다. 내자신이 듣기 어색하다  신기하다
여유롭다",2019.06.06,커뮤니케이션북스
14,따봉구아,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,잘 들었습니다,2019.06.06,커뮤니케이션북스
15,크리스토퍼놀람,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,잘 들었습니다,2019.06.06,커뮤니케이션북스
16,찰리찰리,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,제미있게 잘들었습니다!,2019.06.06,커뮤니케이션북스
17,밤샘0815,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,어릴때  읽었던 것보다 나이 들어서 읽으니 더 좋네요 앤에 대한 묘사가 너무 생생하고 재밌네요,2019.06.06,커뮤니케이션북스
18,아시안컵,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,말이필요없음 꼭들아보세여 빨강머리앤은 사랑입니다^^,2019.06.06,커뮤니케이션북스
19,rehood,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,너무 재미 있습니다 감사합니다,2019.06.06,커뮤니케이션북스
20,okyy7928,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,감동했습니다,2019.06.06,커뮤니케이션북스
21,밥상의국가대표한견,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,와! 완전 좋은데요 추천합니다,2019.06.06,커뮤니케이션북스
22,용용수수수,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,좋은목소리로 좋은글감사합니다,2019.06.06,커뮤니케이션북스
23,제롬모로우,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,대으박 귀가호강해,2019.06.06,커뮤니케이션북스
24,네이처파운드,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,좋아요,2019.06.06,커뮤니케이션북스
25,꿈을볶는카페커피베이,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,좋아요,2019.06.06,커뮤니케이션북스
26,컴온타스,100,빨강머리 앤 : 에이번리 이야기,이지혜,루시 모드 몽고메리,앤은 어릴때보다 어른이 접해야 할 이야기입니다. 확실합니다.,2019.06.06,커뮤니케이션북스
