,nickname,rating,title,voice,author,review,created,publish
0,파진찬어른,100,나는 왠지 대박날 것만 같아!,손정현,손정현,필모보니깐 후덜덜하네요,2020.10.15,이은북
1,greathogoo,100,나는 왠지 대박날 것만 같아!,손정현,손정현,재미있네요 ^^,2020.10.15,이은북
2,짱구인생,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘 들었어요^^ 재밌네요,2020.10.15,이은북
3,성석동달인손세차,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘들었습니다 ^^,2020.10.15,이은북
4,시즈루,100,나는 왠지 대박날 것만 같아!,손정현,손정현,저자가 후배지망작가들에 대한 애정이 느껴지네요,2020.10.15,이은북
5,물난리,100,나는 왠지 대박날 것만 같아!,손정현,손정현,들을만하네요,2020.10.15,이은북
6,리버티스트,100,나는 왠지 대박날 것만 같아!,손정현,손정현,듣다보니  정말 대박날것 같아요,2020.10.15,이은북
7,anobo,100,나는 왠지 대박날 것만 같아!,손정현,손정현,참신한 내용 잘 들었습니다,2020.10.15,이은북
8,오야오아야이,100,나는 왠지 대박날 것만 같아!,손정현,손정현,"잘 들었습니다, 참신한 내용이라 더더욱 재밌게 들었네요 ㅎㅎ",2020.10.15,이은북
9,스페렬방5,100,나는 왠지 대박날 것만 같아!,손정현,손정현,굿뜨,2020.10.15,이은북
10,aaajg1018,100,나는 왠지 대박날 것만 같아!,손정현,손정현,굿 입니다,2020.10.15,이은북
11,aajg1018,100,나는 왠지 대박날 것만 같아!,손정현,손정현,앞으로 자주 들을게요,2020.10.15,이은북
12,lukean,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘 들었습니다,2020.10.15,이은북
13,곧휴에힘줘,100,나는 왠지 대박날 것만 같아!,손정현,손정현,"구~~~웃
목소리 좋구요",2020.10.15,이은북
14,아힌,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘들을께요,2020.10.15,이은북
15,200990,70,나는 왠지 대박날 것만 같아!,손정현,손정현,좋은 내용이네요,2020.10.15,이은북
16,제주남45877,100,나는 왠지 대박날 것만 같아!,손정현,손정현,굿,2020.10.15,이은북
17,mbox2,100,나는 왠지 대박날 것만 같아!,손정현,손정현,감사합니다,2020.10.15,이은북
18,두두리,100,나는 왠지 대박날 것만 같아!,손정현,손정현,최고예요,2020.10.15,이은북
19,캬캬캬노,100,나는 왠지 대박날 것만 같아!,손정현,손정현,대박 나길 바래요 구독 완료여,2020.10.15,이은북
20,catnap,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘 듣고가요,2020.10.15,이은북
21,타운스32,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘듣고갑니다~~,2020.10.15,이은북
22,쑤아,100,나는 왠지 대박날 것만 같아!,손정현,손정현,진짜 대박나길 바라며!!,2020.10.15,이은북
23,익산군,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘듣고갑니다,2020.10.15,이은북
24,셧써,100,나는 왠지 대박날 것만 같아!,손정현,손정현,감사합니다  잘 들었습니다,2020.10.15,이은북
25,춘배김,100,나는 왠지 대박날 것만 같아!,손정현,손정현,특강 듣는 것 같이 생생하네요,2020.10.15,이은북
26,강아지구름,100,나는 왠지 대박날 것만 같아!,손정현,손정현,"작가 지망생들의 기쁨, 슬픔, 희열, 좌절이 느껴지네요. 세상에 쉬운 건 없어보여요.",2020.10.15,이은북
27,푸른달나흘,100,나는 왠지 대박날 것만 같아!,손정현,손정현,드라마작가 지망생에게는 좋은 멘토가 될듯한 귀한 이야기네요!,2020.10.15,이은북
28,바티스타,100,나는 왠지 대박날 것만 같아!,손정현,손정현,좋네요,2020.10.15,이은북
29,숀니죱,100,나는 왠지 대박날 것만 같아!,손정현,손정현,❤️,2020.10.15,이은북
30,쁘레따뽀h,100,나는 왠지 대박날 것만 같아!,손정현,손정현,굿 잘들었습니다,2020.10.14,이은북
31,상렬이형,100,나는 왠지 대박날 것만 같아!,손정현,손정현,목소리가 좋네요,2020.10.14,이은북
32,마코야나,100,나는 왠지 대박날 것만 같아!,손정현,손정현,대박 나세요,2020.10.14,이은북
33,꼭안아주세요,100,나는 왠지 대박날 것만 같아!,손정현,손정현,좋아요,2020.10.14,이은북
34,sainten,100,나는 왠지 대박날 것만 같아!,손정현,손정현,꽤 흥미로운 팟캐네요,2020.10.14,이은북
35,양윤창,100,나는 왠지 대박날 것만 같아!,손정현,손정현,좋습니다,2020.10.14,이은북
36,겁나빠른달팽이,100,나는 왠지 대박날 것만 같아!,손정현,손정현,감사합니다,2020.10.14,이은북
37,real10e,100,나는 왠지 대박날 것만 같아!,손정현,손정현,정말 좋아요!!,2020.10.14,이은북
38,mathhan,100,나는 왠지 대박날 것만 같아!,손정현,손정현,기대합니다,2020.10.14,이은북
39,GGMUFC,100,나는 왠지 대박날 것만 같아!,손정현,손정현,엄청 재미나요!!!,2020.10.14,이은북
40,남도장터,100,나는 왠지 대박날 것만 같아!,손정현,손정현,ㅋㅋㅋㅋ 재밌네요. 잘 들었습니다 ㅎㅎ,2020.10.14,이은북
41,씩스틴레벨즈,100,나는 왠지 대박날 것만 같아!,손정현,손정현,들으시는 모든분들에게 돈벼락이!!,2020.10.14,이은북
42,lesmise,100,나는 왠지 대박날 것만 같아!,손정현,손정현,감사합니다,2020.10.14,이은북
43,비스트마린,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘들었습니다,2020.10.14,이은북
44,청솔모,100,나는 왠지 대박날 것만 같아!,손정현,손정현,참 좋아요.,2020.10.14,이은북
45,오중사V2,100,나는 왠지 대박날 것만 같아!,손정현,손정현,목소리가 너무 집중 잘되요,2020.10.14,이은북
46,dudb9561,100,나는 왠지 대박날 것만 같아!,손정현,손정현,너무 유익한 컨텐츠네요~~!!~!!,2020.10.14,이은북
47,22johnkim,100,나는 왠지 대박날 것만 같아!,손정현,손정현,굿,2020.10.14,이은북
48,해피이카,100,나는 왠지 대박날 것만 같아!,손정현,손정현,목소리가 좋으시네요 ^^,2020.10.14,이은북
49,다니에루우,100,나는 왠지 대박날 것만 같아!,손정현,손정현,너무 좋아요!,2020.10.14,이은북
50,09abc,100,나는 왠지 대박날 것만 같아!,손정현,손정현,편하게 듣기 좋네요,2020.10.14,이은북
51,딸순이낭,100,나는 왠지 대박날 것만 같아!,손정현,손정현,좋아요,2020.10.14,이은북
52,anluke,100,나는 왠지 대박날 것만 같아!,손정현,손정현,잘 들었습니다,2020.10.14,이은북
53,ha2,100,나는 왠지 대박날 것만 같아!,손정현,손정현,운전하며드ㄹ으니좋음,2020.10.14,이은북
54,믿음소망사랑중엔망사,100,나는 왠지 대박날 것만 같아!,손정현,손정현,작가분이 목소리도좋으시네요,2020.10.14,이은북
55,눈에는 이,100,나는 왠지 대박날 것만 같아!,손정현,손정현,들어보겠습니다,2020.10.14,이은북
56,뜬구름0,100,나는 왠지 대박날 것만 같아!,손정현,손정현,재밌네요,2020.10.14,이은북
