,nickname,rating,title,voice,author,review,created,publish
0,bluejays19,10,사람의 힘 (요약),장병관,윤석금,"잘못된 경영으로 웅진그룹 골로 간 게 언제인데
이런 책을 오디오북에 소개하나?",2020.09.14,리더스북
1,풀향기5016,70,사람의 힘 (요약),장병관,윤석금,웅진! 오래전 아이들 꾸러기곰돌이란 책부터구입하였습니다ㆍ그시절 저도잠깐 웅진아이큐란곳에서 첨세일즈를해봤고요ㆍ정감가는좋은내용 잘듣고 힘받고갑니다 ^^,2019.10.28,리더스북
2,keniy,100,시골 카페에서 경영을 찾다,"은정,김용식,장병관",다카이 나오유키,잘 듣었습니당~~,2019.07.11,(주)도서출판 길벗
3,okyy7928,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,기대합니다,2019.08.16,더퀘스트
4,silveerr,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,흥미로워요,2019.08.15,더퀘스트
5,나이스가이72,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,흥미로운...,2019.08.15,더퀘스트
6,daca5656,80,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,재밌을것 같아요,2019.08.15,더퀘스트
7,amartia,80,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,흥미로운 이야기네요,2019.08.15,더퀘스트
8,봄봄0207,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,들어봤습니다ㆍ,2019.08.15,더퀘스트
9,튀각먹깨비,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,잘듣겠습니다,2019.08.15,더퀘스트
10,e설아,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,인간들의 숨겨진 욕망을 데이터를 이용하여 잘 풀어냈다고 생각합니다,2019.08.15,더퀘스트
11,베르무트,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,세상에 거짓말 안하는 사람은 없다.,2019.08.14,더퀘스트
12,kaisen,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,"한번들어보고 싶긴하네요 
데이터로 저런길알아내려면 뭘어째야될지 궁금하기도하고",2019.08.14,더퀘스트
13,명박저격수,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,내용이 좋내요,2019.08.14,더퀘스트
14,yikiyiki,80,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,궁금증을  갖게 합니다,2019.08.14,더퀘스트
15,항구탐험대,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,재미있습니다. 추천,2019.08.14,더퀘스트
16,이젠자이젠,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,깊은 생각을 가지게 하네요. 감사합니다.,2019.08.14,더퀘스트
17,요요제로,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,잘 듣겠습니다.,2019.08.14,더퀘스트
18,아힌,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,여러 생각을 하게 해주네요,2019.08.14,더퀘스트
19,까만무수린,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,잘 듣겠습니다,2019.08.13,더퀘스트
20,찰리찰리,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,흥미로운내용입니다,2019.08.13,더퀘스트
21,dies,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋은 책입니다,2019.08.13,더퀘스트
22,홍홍37,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,굿굿입니다,2019.08.13,더퀘스트
23,김어준사랑해,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,잘들을께요 ♡♡♡,2019.08.13,더퀘스트
24,eran,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋네요,2019.08.13,더퀘스트
25,돌탱이,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,잘 듣겠습니다,2019.08.13,더퀘스트
26,고트프리트,70,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋아요.,2019.08.13,더퀘스트
27,syayms,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋음,2019.08.13,더퀘스트
28,풉치팝칫,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,내용이 흥미진진하네요 ㅎ,2019.08.13,더퀘스트
29,부산기장갈매기,80,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,목소리 좋아요!,2019.08.13,더퀘스트
30,큐트보이,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,목소리가 굿~,2019.08.13,더퀘스트
31,jaemyungit,60,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,유용한정보네요,2019.08.12,더퀘스트
32,mmmmmmmmm7,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,목소리가,2019.08.12,더퀘스트
33,rlaehddms,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,너무 좋아요^^,2019.08.12,더퀘스트
34,sosohani,80,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,듣기좋아요,2019.08.12,더퀘스트
35,delllong,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,듣기 좋네요,2019.08.12,더퀘스트
36,가시없는선인장,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,목소리가 깊고 따뜻해서 읽는것 같이  이해가 잘 됩니다.,2019.08.12,더퀘스트
37,장비서,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,흥미롭습니다!!,2019.08.12,더퀘스트
38,mukujun,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,흥미롭다. 책을봤지만 한번더 봐야겠다,2019.08.12,더퀘스트
39,nachbar3,80,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,잘들었습니다,2019.08.12,더퀘스트
40,아진짜한번만,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,잘들었어요,2019.08.12,더퀘스트
41,꼭메모필수,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,재밌넹ᆢㄷ,2019.08.12,더퀘스트
42,아봉쓰,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋아요,2019.08.12,더퀘스트
43,신물방일,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋아요.,2019.08.12,더퀘스트
44,20041206,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋아요,2019.08.12,더퀘스트
45,도리도리78,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋아요,2019.08.12,더퀘스트
46,JP,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,신선한주제네요,2019.08.12,더퀘스트
47,mo0225,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,유익하네요,2019.08.11,더퀘스트
48,브람스0,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,유익한 정보 잘 들어오네요~,2019.08.11,더퀘스트
49,놀아줘제발,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,좋아요,2019.08.11,더퀘스트
50,전력질주80,90,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,잘들었습니다,2019.08.11,더퀘스트
51,리비디비루바바,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,흥미로워요,2019.08.11,더퀘스트
52,수지공시합격,100,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,모두가 거짓말을 하죠... 잘 들엇습니다,2019.08.11,더퀘스트
