,nickname,rating,title,voice,author,review,created,publish
0,Beagood14,100,잠자리 대화의 기적,이예은,김동화,말 재주라고는 하나도 없는 엄마였어요. 뭔가를 시도하기 전에 늘 고민만 하고마는 그런 엄마였지요. 늘 심장이 뛰는 꿈을 꾸게 옆에서 아낌없는 조언과 희망을 주시는 작가님 덕에 아이에게 이야기라는 것도 지어보게 되고.또 여러가지 시도를 통해 저 또한 성장해 갑니다.작가님의 멋진 이야기들과 값진 조언들로 이루어진 찐!!!!!책!!!!입니다~ 엄마도 충분히 스토리텔러가 될 수 있습니다~,2020.11.12,서사원 주식회사
1,에밀리채현맘,100,잠자리 대화의 기적,이예은,김동화,"아이와 무슨 대화를 할지 너뮤도 막막했을때 알게된 책
어떻게 이런 상상력을 발휘하는지 놀랍습니다
아이도 귀기울여 듣고 잠자리 동화는 이 책으로 해결되었어요
두번째 책도 빨리 오디오북으로 나오면 좋겠어요*^^*",2020.11.12,서사원 주식회사
2,극복이정우,100,잠자리 대화의 기적,이예은,김동화,사실 처음엔 딱딱 떨어지지 않는 가이드에 조금 당황스러웠던 적도 분명 있었다. 눈앞에 보이는  아웃라인과 프로세스의 전개가 딱히 보이지 않으면 불안하기도 하고 답답하기도 한 전형적인 이공계인이라.. 그녀의 조언이 막 와닿지는 않았지만 그녀는 뚝심있게 추진하는 불도저 같았고 그 모습에 감동을 받은 나는 우리 아이에게 그녀가 제시한 이야기 나누기를 시도해보았다. 그런데 처음엔 뭔가 어떻게 해야할지 몰라 아무말 하기 였는데도 아이는 너무 좋아하고 금방 했던 그 이야기를 자기식 대로 바꾸고 조잘조잘댔다. 그리고 영어도 그렇게 이야기해주니 (콩글리시에엉망인 발음이어도) 아이는 마음에 담았던 이야기를 영어로도 시작했다. 그때 느꼈던 건. 아이와 연결할 수 있는 대화를 시작하기만 하면 아이는 마음을 활짝 열어준단 거였다. 이 귀중한 깨달음을 그녀는 자신의 삶으로 증명해주고 있고 전파해주고 있다. 그런 그녀의 책이 드디어 나왔고. 그래서 언능 오디오북으로 듣고 있다. 반복해서 듣고 마음을 다잡고 아이와 연결되는 이 경험을 계속해서 하고 싶어서. 그래서 내가 그렇게 목말라샜던 부모와의 감정적인 교류를 아이와 함께 계속해서 어른이되어서도 해가고 싶어서말이다.,2020.11.11,서사원 주식회사
3,goodshow03,100,잠자리 대화의 기적,이예은,김동화,"아이와이 대화를 통해서 아이의 변화된 모습을 눈으로보고 마음으로 느꼈습니다.그전에  아이에게 엄마의 변화된 모습이 그리 비춰졌겠지요. 
작가님을 만나고 그 육아방법을 조금이나마 흉내내오기를 3.4년 되어갑니다. 
책이나와 정말 반갑고 감사합니다.많은분들의 잠자리가 가득하고 따뜻하길 바랍니다",2020.11.10,서사원 주식회사
4,에너지오드리,100,잠자리 대화의 기적,이예은,김동화,시간순서만 생각하는 타임테이블로 가득찼던 저에게 감정과 스토리를 선물해주어 고마워요 작가님,2020.11.10,서사원 주식회사
5,wjddls1213,100,잠자리 대화의 기적,이예은,김동화,오늘 하루 우리 아이와 어떤 이야기를 했나 가만히 생각해보면 아이와의 대화가 생각보다 쉽지 않습니다. 김동화 작가님의 '잠자리 대화의 기적'은 저와 제 아이의 삶에 변화를 안겨다 주었고 풍성하고 넉넉한 마음을 만들어 주었습니다. 아이와의 대화가 어려운 부들께 강추합니다,2020.11.10,서사원 주식회사
6,옐키,100,세계는 왜 싸우는가,김영미,김영미,직접 경험한 걸 이야기 해주셔서 흥미롭네요. 생생함이 좋았어요,2020.09.03,(주)김영사
7,종윤만두에환젖비비기,100,세계는 왜 싸우는가,김영미,김영미,구웃,2020.09.03,(주)김영사
8,lesmise,100,세계는 왜 싸우는가,김영미,김영미,감사합니다,2020.09.03,(주)김영사
9,박종윤존맛,100,세계는 왜 싸우는가,김영미,김영미,내용이알차네요,2020.09.03,(주)김영사
