,title,voice,author,publish
0,[커뮤니케이션이해총서]미국 독립영화,이현재,이현재,커뮤니케이션북스
1,[커뮤니케이션이해총서]크로스미디어 스토리텔링,서성은,서성은,커뮤니케이션북스
2,"[커뮤니케이션이해총서]세책, 도서 대여의 역사",이민희,이민희,커뮤니케이션북스
3,"[커뮤니케이션이해총서]미디어 교육, 내용의 구성",이혜진,이혜진,커뮤니케이션북스
4,[커뮤니케이션이해총서]젠트리피케이션,서정렬,"김현아, 서정렬",커뮤니케이션북스
5,[커뮤니케이션이해총서]한국의 극장,위경혜,위경혜,커뮤니케이션북스
6,[커뮤니케이션이해총서]나의 다큐멘터리,최진성,최진성,커뮤니케이션북스
7,[커뮤니케이션이해총서]음악 산업과 저작권,조재영,조재영,커뮤니케이션북스
8,[커뮤니케이션이해총서]디지털 내러티브,전경란,전경란,커뮤니케이션북스
9,[커뮤니케이션이해총서]과학명상,김완석,김완석,커뮤니케이션북스
10,[커뮤니케이션이해총서]유럽에서 저작권과 구글의 투쟁,한수경,한수경,커뮤니케이션북스
11,[커뮤니케이션이해총서]스포츠 마케팅,문개성,문개성,커뮤니케이션북스
12,[커뮤니케이션이해총서]사이버불링,한희정,한희정,커뮤니케이션북스
13,[커뮤니케이션이해총서]SF영화와 로봇 사회학,민경배,민경배,커뮤니케이션북스
14,[커뮤니케이션이해총서]광고의 스토리텔링 기법,김정우,김정우,커뮤니케이션북스
15,[커뮤니케이션이해총서]호감,박성호,박성호,커뮤니케이션북스
16,[커뮤니케이션이해총서]현대시와 미디어,임곤택,임곤택,커뮤니케이션북스
17,[커뮤니케이션이해총서]위기관리의 이해,유재웅,유재웅,커뮤니케이션북스
18,[커뮤니케이션이해총서]게임의 역사,나보라,나보라,커뮤니케이션북스
19,[커뮤니케이션이해총서]음향효과,안익수,안익수,커뮤니케이션북스
20,[커뮤니케이션이해총서]디즈니 스튜디오,오동일,오동일,커뮤니케이션북스
21,[커뮤니케이션이해총서]무크 10대 이슈,민경배,민경배,커뮤니케이션북스
22,[커뮤니케이션이해총서]공익광고의 정석,김병희,김병희,커뮤니케이션북스
23,[커뮤니케이션이해총서]히틀러의 대중 연설,김종영,김종영,커뮤니케이션북스
24,[커뮤니케이션이해총서]스포츠 매니지먼트,문개성,문개성,커뮤니케이션북스
25,[커뮤니케이션이해총서]스포츠 인문과 사회,문개성,문개성,커뮤니케이션북스
26,[커뮤니케이션이해총서]선거와 표현의 자유,김경호,김경호,커뮤니케이션북스
27,[커뮤니케이션이해총서]국력이란 무엇인가,"최창현, 주성돈","최창현, 주성돈",커뮤니케이션북스
28,[커뮤니케이션이해총서]트랜스미디어 액티비즘,"김희경, 남정은","김희경, 남정은",커뮤니케이션북스
29,[커뮤니케이션이해총서]뉴스 어뷰징과 검색 알고리즘,김병희,김병희,커뮤니케이션북스
30,[커뮤니케이션이해총서]북한 기록영화,김승,김승,커뮤니케이션북스
31,[커뮤니케이션이해총서]뇌과학과 커뮤니케이션,이재신,이재신,커뮤니케이션북스
32,"[커뮤니케이션이해총서]디자인의 새로운 지형, 저작권과 상표권",최승재,최승재,커뮤니케이션북스
33,[커뮤니케이션이해총서]자아 커뮤니케이션,김진영,김진영,커뮤니케이션북스
34,[커뮤니케이션이해총서]조선 후기 대항공론장,원숙경,원숙경,커뮤니케이션북스
35,[커뮤니케이션이해총서]디지털 액터,정태섭,정태섭,커뮤니케이션북스
36,[커뮤니케이션이해총서]해리 포터와 환상세계의 힘,이영수,이영수,커뮤니케이션북스
37,[커뮤니케이션이해총서]임권택 영화,김대중,김대중,커뮤니케이션북스
38,[커뮤니케이션이해총서]정치와 커뮤니케이션,김창남,김창남,커뮤니케이션북스
39,[커뮤니케이션이해총서]공연 기획 입문,박정배,박정배,커뮤니케이션북스
