,nickname,rating,title,voice,author,review,created,publish
0,유노창민,100,저스트 어 모멘트,이나리,이경화,잘들었습니다.,2020.11.06,탐
1,나이스가이72,100,[단편] 헤엄치는 밤,최인영,한유주,내용 목소리 넘 좋습니다.,2020.10.29,미디어창비
2,하브,100,[단편] 헤엄치는 밤,최인영,한유주,완전 내용도 장난 아니게 좋네요!! 그리고 목소리도 너무 좋아 집중해서 잘 들을 수 있어서 강추 강추!!,2020.10.29,미디어창비
3,양수,100,[단편] 헤엄치는 밤,최인영,한유주,빠져드는 목소리입니다^^,2020.10.29,미디어창비
4,티씨지는부산더락,100,[단편] 헤엄치는 밤,최인영,한유주,목소리 너무 좋아요,2020.10.28,미디어창비
5,주야파파,100,[단편] 헤엄치는 밤,최인영,한유주,좋네요,2020.10.28,미디어창비
6,이뿐똥꼬킹,100,[단편] 헤엄치는 밤,최인영,한유주,굿입니다,2020.10.28,미디어창비
7,청솔모,100,[단편] 헤엄치는 밤,최인영,한유주,참 좋아요.,2020.10.28,미디어창비
8,Sangyub,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.28,미디어창비
9,변경닉네임,100,[단편] 헤엄치는 밤,최인영,한유주,좋은 내용입니다,2020.10.27,미디어창비
10,니체짱,100,[단편] 헤엄치는 밤,최인영,한유주,단편 감사해요,2020.10.27,미디어창비
11,마르크그라프,100,[단편] 헤엄치는 밤,최인영,한유주,잘들었습니다,2020.10.27,미디어창비
12,sksacyhpar,100,[단편] 헤엄치는 밤,최인영,한유주,잘들었습니다,2020.10.27,미디어창비
13,Chivarly,100,[단편] 헤엄치는 밤,최인영,한유주,잘 들어보겠습니다,2020.10.27,미디어창비
14,ahdcl1020,100,[단편] 헤엄치는 밤,최인영,한유주,즐청했읍니다,2020.10.27,미디어창비
15,중국와이파이,100,[단편] 헤엄치는 밤,최인영,한유주,잘 들었습니다,2020.10.27,미디어창비
16,kimsfull,100,[단편] 헤엄치는 밤,최인영,한유주,짧지만 알찬 내용입니다,2020.10.27,미디어창비
17,yuj0715,100,[단편] 헤엄치는 밤,최인영,한유주,잘들었어요,2020.10.27,미디어창비
18,꼬꼬리코돌격대,100,[단편] 헤엄치는 밤,최인영,한유주,너무 좋습니다!! *^^*,2020.10.27,미디어창비
19,브람스00,100,[단편] 헤엄치는 밤,최인영,한유주,"사돈도 소설광이시니 든든하시겠어요
이번 단편 잘 들어볼게요^",2020.10.27,미디어창비
20,세인트케이,100,[단편] 헤엄치는 밤,최인영,한유주,좋아요,2020.10.26,미디어창비
21,미다진구,100,[단편] 헤엄치는 밤,최인영,한유주,잘 들었습니다  응원합니다♥♥♥,2020.10.26,미디어창비
