,nickname,rating,title,voice,author,review,created,publish
0,쭈루쭈루쭈루,50,어느 날 우리 반에 공룡이 전학 왔다,이지현,서지원,기대가 됩니다,2020.09.26,길벗스쿨
1,하루유,10,임진록,,김종광,"설마 2시간 8분짜리가 9,900원은 아닌거죠? 구매해서 듣고나니 너무 허무하네요",2019.04.08,창비
2,pink9964,90,오세암,,정채봉,영화로 본적 있는데 보는 동안 눈물이 나오는 영화 오디오 북으로도 나왔네요 감동이었어요,2019.04.02,창비
3,유노창민,100,홍당무,"심규영,장세윤",쥘 르나르,잘들었습니다.,2020.11.06,시공주니어
4,쭈루쭈루쭈루,50,어느 날 우리 반에 공룡이 전학 왔다,이지현,서지원,기대가 됩니다,2020.09.26,길벗스쿨
5,쭈루쭈루쭈루,100,내 꿈은 누가 정해요?,김소형,김효,기데되네요,2020.09.22,풀빛미디어
6,유노창민,100,공룡 이야기 마을_고집 센 벨로키랍토르(영어),,김성진 외,좋습니다. 잘봤습니다,2020.10.24,애플비북스
7,쭈루쭈루쭈루,30,백설공주,,애플비북스 편집부,시간이 짧아서 아쉽네요,2020.09.30,애플비북스
8,모심맘,100,[EBS 세계문학전집] 아라비안나이트,"정형석,박지윤",작가 미상,긴 출퇴근시간에 한편씩 가볍게 듣는재미가 있어요,2020.10.27,한국교육방송공사
9,소민맘,100,[EBS 세계문학전집] 아라비안나이트,"정형석,박지윤",작가 미상,재밌넹요,2020.10.04,한국교육방송공사
10,쭈루쭈루쭈루,70,[EBS 세계문학전집] 아라비안나이트,"정형석,박지윤",작가 미상,재미있을 것 같네요,2020.09.26,한국교육방송공사
11,소시앓이,100,[EBS 세계문학전집] 아라비안나이트,"정형석,박지윤",작가 미상,이렇게 유명하신 분들이 읽어주는 동화라니. 기대만큼 너무 재밌어요 시간 가는줄 모르고 들었어요 무조건 결제하셔야 합니다,2020.09.04,한국교육방송공사
12,소시앓이,100,[EBS 세계문학전집] 톰 소여의 모험,"정형석,박지윤",마크 트웨인,마크 트웨인의 작품을 정혁석님과 박지윤님의 목소리로 듣다니요 넘 황홀합니다 천천히 오래오래 들으려고 소장합니다 더 많은 책 읽어주세요~,2020.09.09,한국교육방송공사
13,쭈루쭈루쭈루,100,[EBS 세계문학전집] 지킬박사와 하이드,"정형석,박지윤",로버트 루이스 스티븐슨,와 정말 재밌네요 신기하고 강력 추천합니다,2020.10.03,한국교육방송공사
14,소시앓이,100,[EBS 세계문학전집] 지킬박사와 하이드,"정형석,박지윤",로버트 루이스 스티븐슨,제가 좋아하고 아이들이 정말 좋아하시는 성우님들이에요 첫째딸이 정말 좋아합니다 꼭 구매하세요 절대 후회하지않아요,2020.09.08,한국교육방송공사
15,저기요나는바람이어요,100,[EBS 세계문학전집] 지킬박사와 하이드,"정형석,박지윤",로버트 루이스 스티븐슨,올라오는대로 구입하고 있어요. 아이들 학교 못가고 있는데 같이 들으니 좋네요,2020.03.28,한국교육방송공사
