,title,voice,author,publish
0,스몰빅,인공지능성우 타입캐스트,제프 헤이든,리더스북
1,정조의 말,장병관,정창권,이다북스
2,나는 왠지 대박날 것만 같아!,손정현,손정현,이은북
3,첫마디를 행운에 맡기지 마라,,최정화,리더스북
4,데일 카네기 인간관계론,민승우,데일 카네기,현대지성
5,당신은 더 좋은 회사를 다닐 자격이 있다,인공지능으로 감성을 말하는 AI음성합성 엔진 타입캐스트,김나이,(주)대교
6,돌봄의 기술,장한빛,김유비,규장
7,대한민국 페미니스트의 고백,"김단,김서영 외 25명",김서영 외 25명,이프북스
8,딜리트,,김유열,쌤앤파커스
9,최고의 팀은 무엇이 다른가,이동현,대니얼 코일,웅진지식하우스
10,일 잘하는 사람은 단순하게 합니다,"전해리,이승준",박소연,더퀘스트
11,초등 감정 사용법,,한혜원,생각정원
12,SC제일은행 착한도서관프로젝트[시즌8],,SC제일은행,SC제일은행
13,신경 끄기의 기술 (완독),이민규,"마크 맨슨 지음,한재호 옮김",갤리온
14,신경 끄기의 기술 (요약),진양욱,"마크 맨슨 지음,한재호 옮김",갤리온
15,한마디면 충분하다,,장문정,쌤앤파커스
16,1등은 당신처럼 공부하지 않았다,,김도윤,쌤앤파커스
17,소리없이 승리하는 법,임승민,주희진,와미디어
18,질문지능,,아이작 유,팟빵북스
19,증발 : 모바일 경제를 관통하는 핵심 원리,윤동기,로버트 터섹,커뮤니케이션북스
20,서비스직으로 먹고살기,정상은,이보옥,왓북
21,영상번역가로 변신한 정역씨,김명철,최시영,왓북
22,통역사로 먹고살기,정상은,박지영,왓북
23,여행작가로 먹고살기,김명철,임효정,왓북
24,편의점으로 먹고살기,김명철,한상우,왓북
25,영상번역가로 먹고살기,정상은,최시영,왓북
26,인생가게로 먹고살기,김명철,김도현,왓북
27,출판번역가로 먹고살기,정상은,김명철,왓북
28,해외영업으로 먹고살기,김명철,노정엽,왓북
29,속기사로 먹고살기,정상은,손효진,왓북
30,취업 99℃,이석훈,열린진로취업커뮤니티,푸른영토
31,자투리 시간 독서법,박민기,허동욱,위닝북스
