,title,voice,author,publish
0,리더 반성문,김경일,정영학,더난출판사
1,명동 부자들,"나성지,정승운",고미숙,더난출판사
2,나의 월급 독립 프로젝트,,유목민,리더스북
3,김광석의 더블 딥 시나리오: 긴급 수정경제 전망,김광석,김광석,지식노마드
4,경제 읽어주는 남자 김광석의 2020년 경제전망,김광석,김광석,(주)팟빵
5,경제 읽어주는 남자 김광석의 [디지털 경제의 미래],,김광석,(주)팟빵
6,아마존 vs. 구글 미래 전쟁,"이가희,강정우",강정우,시크릿하우스
7,넛지 (완독),조영철,"리차드 탈러,캐스 선스타인,안진환 옮김",리더스북
8,사람의 힘 (요약),장병관,윤석금,리더스북
9,시골 카페에서 경영을 찾다,"은정,김용식,장병관",다카이 나오유키,(주)도서출판 길벗
10,모두 거짓말을 한다,장병관,세스 스티븐스 다비도위츠,더퀘스트
11,퇴사준비생의 런던,하나리,이동진 외,트레블코드
12,4차 산업혁명 시대에 살아남기,유경선,김지연,페이퍼로드
13,문재인노믹스,박민기,매일경제경제부,매일경제신문사
14,당신의 직업이 사라진다,최대한,"데이비드서,이선",세종서적(주)
