,title,voice,author,publish
0,사랑받는 아빠는 소통법이 다르다,이도형,신우석,서사원 주식회사
1,엄마의 글쓰기,임창호,권귀헌,서사원 주식회사
2,자유론,이승준,존 스튜어트 밀,현대지성
3,아리스토텔레스 수사학,김도담,아리스토텔레스,현대지성
4,공리주의,김용석,존 스튜어트 밀,현대지성
5,잠자리 대화의 기적,이예은,김동화,서사원 주식회사
6,순례자들의 합창,이승원,전효숙,소통
7,기분이 태도가 되지 않게,조성희,레몬심리,갤리온
8,말씀대로 말하라,주보라,손기철,규장
9,유진 피터슨의 첫 번째 어린이 성경(신약),장희은,유진 피터슨 (Eugene H. Peterson),넥서스CROSS
10,유진 피터슨의 첫 번째 어린이 성경(구약),장희은,유진 피터슨 (Eugene H. Peterson),넥서스CROSS
11,이렇게 맛있는 철학이라니,향기,오수민,넥서스BOOKS
12,묵묵,유석,고병권,(주)돌베개
13,고추장 작은 단지를 보내니,문관일,"박지원 저,박희병 역",(주)돌베개
14,모든 죽음에는 이유가 있다,이민규,강신몽,이다북스
15,미치도록 잡고 싶다,장희문,정락인,이다북스
16,톨스토이 고백록,이인석,레프 톨스토이,현대지성
17,가치를 만드는 사람들,이승혁,진희선,인사이트브리즈
18,다시는 그전으로 돌아가지 않을 것이다,최연우,권김현영,(주)휴머니스트출판그룹
19,상처받지 않고 끝까지 사랑하기,신송이,유은정,규장
20,그 집 아들 독서법,이현지,이지연,블루무스
21,명상록,신찬혁,마르쿠스 아우렐리우스,현대지성
22,증언,신송이,김길,규장
23,바보 엄마,신송이,권미나,규장
24,하나님의 선물,신송이,햇살콩(김나단x김연선),규장
25,지키는 기도,장한빛,송준기,규장
26,나는 같이 살기로 했다,신송이,한근영,규장
27,"스토리텔링 성경 - 열왕기 상,하",정재빈,"김영진,강정훈,천종수",(주)성서원
28,스토리텔링 성경 - 신명기,,"김영진,강정훈,천종수",(주)성서원
29,"스토리텔링 성경 - 사무엘 상,하",정재빈,"김영진,강정훈,천종수",(주)성서원
30,스토리텔링 성경 - 민수기,,"김영진,강정훈,천종수",(주)성서원
31,부활,장한빛,"이용규,김상철",규장
32,네가 나의 영광을 짓밟았다!,신송이,최요나,규장
33,한 시간 기도,장희은,유기성,규장
34,세계는 왜 싸우는가,김영미,김영미,(주)김영사
35,군주론,인공지능성우 타입캐스트,니콜로 마키아벨리,펭귄클래식
36,영리한 아이가 위험하다,,에일린 케네디 무어,웅진지식하우스
37,고전의 전략 - 손자병법 편,김원중,김원중,(주)휴머니스트출판그룹
38,고전의 전략 - 정관정요 편,김원중,김원중,(주)휴머니스트출판그룹
39,고전의 전략 - 한비자 편,김원중,김원중,(주)휴머니스트출판그룹
40,고전의 전략 - 사기 편,김원중,김원중,(주)휴머니스트출판그룹
41,[합본] 고전의 전략,김원중,김원중,(주)휴머니스트출판그룹
42,[낭독형] 니체의 인생 강의,이진우,이진우,(주)휴머니스트출판그룹
43,열하일기 첫걸음,,박수밀,(주)돌베개
44,아이 마음에 상처 주지 않는 습관,박상경,이다랑,(주)도서출판 길벗
45,이탈리아 아트 트립,신범식,김현성,더퀘스트
46,스토리텔링 성경 - 레위기,,"김영진,강정훈,천종수",(주)성서원
47,스토리텔링 성경 - 출애굽기,,"김영진,강정훈,천종수",(주)성서원
48,일본산고,최석환,박경리,와미디어
49,병든바다 병든지구,김은정,김지하,범우사
50,법구경 입문,김은정,박혜경,범우사
51,만해 한용운,김은정,임중빈,범우사
52,디즈레일리의 생애,안혜령,앙드레모루아,범우사
53,단재 신채호 일대기,최석환,임중빈,범우사
54,니체의 고독한 방황,최진경,니체,범우사
55,흔들어 보기도 하고 거꾸로 쏟아 보기도 하고,신송이,박영선,무근검
56,완주자,신송이,다니엘김,규장
57,더 이상 내려갈 곳이 없었다,장한빛,홍민기,규장
58,나를 변화시킨 일곱가지 질문,장한빛,손석제,규장
59,환장할 우리 가족: 정상 가족 판타지를 벗어나 '나'와 '너'의 가족을 위하여,김인영,홍주현,(주)문예출판사
60,소크라테스의 변명: 변명•크리톤•파이돈•향연,이찬우,플라톤,(주)문예출판사
61,세상에서 믿는 자로 산다는 것,신송이,이찬수,규장
62,하나님의 때,장희은,햇살콩 (김나단×김연선),규장
63,아파도 미안하지 않습니다,김사라,조한진희(반다),동녘
64,[강연형] 니체의 인생 강의,"이진우,김학원,박태근",이진우,(주)휴머니스트출판그룹
65,보이지 않는 이야기: 보이는 사람들이 알아두어야 하는 시각장애인 이야기,이승준,조현대,오트르랩
66,스토리텔링 성경 - 창세기,,"김영진,강정훈,천종수",(주)성서원
67,한눈에 보는 구약 역사,신송이,"강선,서정걸,안성희,윤철규",남포교회출판부
68,왕의 재정 1,신송이,김미진,규장
69,영화가 나에게 하는 질문들,류현정,원은정,착한책가게
70,어른이 되면 괜찮을 줄 알았다,박종석,"박종석,김혜남",쌤앤파커스
71,너를 만나 행복해,신송이,임선경,규장
72,어쨌거나 잘살고 싶다면 신디의 결혼 수업,"선은혜,이승준",신디,더퀘스트
73,하나님 아이로 키워라,신송이,박현숙,규장
74,나를 돌보는 시간,신송이,김유비,규장
75,어린이 성경 : 알기 쉬운 성경이야기,유진홍,"HENRY A. SHERMAN,CHARLES FOSTER KENT,역자 김형민",왓북
76,"오늘, 믿음으로 산다는 것",장한빛,이요셉,규장
77,복음으로 산다,신송이,이찬수,규장
78,바다로 퇴근하겠습니다,서혜정,미아,생각정원
79,왕의 재정 2,신송이,김미진,규장
80,하나님의 경영,장한빛,한 홍,규장
81,내려놓음 - 내 인생의 가장 행복한 결심,장한빛,이용규,규장
82,문장의 온도,진양욱,이덕무,(주)다산북스
83,"조선 최고의 문장, 이덕무를 읽다","한정주,김도연",한정주,(주)다산북스
84,천자문 인문학,한정주,한정주,(주)다산북스
85,서양인의 손자병법,"최시영,김명철","라이오널 자일스,최시영 번역",왓북
86,초예측 (완독),"안재영,권태호,원옥화",유발 하라리 외 7인,웅진지식하우스
87,청춘의 독서,,유시민,와미디어
88,골든아워2,"안재영,조영철,진양욱,권태호,김유림,양여경",이국종,흐름출판사
89,골든아워1,"안재영,조영철,진양욱,권태호,김유림,양여경",이국종,흐름출판사
90,서른 살이 심리학에게 묻다,안보영,김혜남,갤리온
91,메이드 인 블루,안혜경,송추향,와미디어
92,나는 왜 기독교인이 아닌가,김은정,버트란드 러셀,범우사
93,편안하게 호흡을 합니다,,호랑냥이,팟빵북스
94,친애하는 내당신에게,,헤븐,팟빵북스
95,직장에서 행복하게 살아남기,,이직스쿨 김영학,팟빵북스
96,일하는 엄마의 자존감 공부,김은영,김은영,팟빵북스
97,응급실 이야기,최석재,최석재,팟빵북스
98,응급실 사용설명서,최석재,최석재,팟빵북스
99,"옷, 문학을 품다",김현호,김현호,팟빵북스
100,박사논문 엎고 스타일링,최유리,최유리,팟빵북스
101,생각 그루터기에 앉아,Kyle Lee,Kyle Lee,팟빵북스
102,사랑과 연애와 결혼에 대하여,cyrene,cyrene,팟빵북스
103,내게는 아직 어려운 사람 사이,정지은(Jean),정지은(Jean),팟빵북스
104,당신이 몰랐던 범죄학자 이야기,범인,범인,팟빵북스
105,사기를 읽다,김영수,김영수,유유
106,운명이다,"배우 문성근,작가 유시민","노무현,사람사는세상 노무현재단",(주)돌베개
107,달려라 논리3,,탁석산,창비
108,달려라 논리2,,탁석산,창비
109,달려라 논리1,,탁석산,창비
110,윤동주 : 순결한 영혼,이석훈,류양선,북페리타
111,너를 사랑했던 시간,권성혁,이근대,쌤앤파커스
112,언어의 온도,박모건,이기주,말글터
113,아토피 정말 낫습니까,유경선,김정진,씽크스마트
114,어쩌다 한국인,이찬우,허태균,중앙북스
