,title,voice,author,publish,genre
0,Classics Explained: VIVALDI - The Four Seasons (Siepmann) CD1,Jeremy Siepmann,Jeremy Siepmann,NAXOS,해외
1,Opera Explained: Orfeo ed Euridice (친절한 오페라 이야기 - 오르페오와 에우리디체),David Timson,Thomson Smillie,NAXOS,해외
2,Opera Explained: Orfeo  (친절한 오페라 이야기 - 오르페오),David Timson,Thomson Smillie,NAXOS,해외
3,Opera Explained - Werther (친절한 오페라 이야기 - 베르테르),David Timson,Thomson Smillie,NAXOS,해외
4,Opera Explained - Tosca (친절한 오페라 이야기 - 토스카),David Timson,Thomson Smillie,NAXOS,해외
5,Opera Explained - The Flying Dutchman (친절한 오페라 이야기 - 방황하는 네덜란드인),David Timson,Thomson Smillie,NAXOS,해외
6,Opera Explained - The Magic Flute (친절한 오페라 이야기 - 마술 피리),David Timson,Thomson Smillie,NAXOS,해외
7,Opera Explained - La Boheme (친절한 오페라 이야기 - 라 보엠),David Timson,Thomson Smillie,NAXOS,해외
8,Opera Explained - Carmen (친절한 오페라 이야기 – 카르멘),David Timson,Thomson Smillie,NAXOS,해외
9,Opera Explained - Aida (친절한 오페라 이야기 - 아이다),David Timson,Thomson Smillie,NAXOS,해외
10,Opera Explained - The Barber of Seville (친절한 오페라 이야기 - 세비야의 이발사),David Timson,Thomson Smillie,NAXOS,해외
11,Opera Explained - Rigoletto (친절한 오페라 이야기 - 리골레토),David Timson,Thomson Smillie,NAXOS,해외
12,Opera Explained - Madama Butterfly (친절한 오페라 이야기 - 나비 부인),David Timson,Thomson Smillie,NAXOS,해외
13,Opera Explained - La Traviata (친절한 오페라 이야기 - 라 트라비아타),David Timson,Thomson Smillie,NAXOS,해외
14,Opera Explained - Cosi fan Tutte (친절한 오페라 이야기 - 코지 판 투테),David Timson,Thomson Smillie,NAXOS,해외
15,Opera Explained - The Marriage of Figaro (친절한 오페라 이야기 - 피가로의 결혼),David Timson,Thomson Smillie,NAXOS,해외
16,Opera Explained - Il Trovatore (친절한 오페라 이야기 - 일 트로바토레),David Timson,Thomson Smillie,NAXOS,해외
17,Opera Explained - Don Giovanni (친절한 오페라 이야기 - 돈 지오반니),David Timson,Thomson Smillie,NAXOS,해외
18,Opera Explained - L'Elisir d'Amore (친절한 오페라 이야기 - 사랑의 묘약),David Timson,Thomson Smillie,NAXOS,해외
19,Opera Explained - Turandot (친절한 오페라 이야기 - 투란도트),David Timson,Thomson Smillie,NAXOS,해외
