,title,voice,author,publish
0,"매향리, 평화가 오다",이미나,"화성시(기획),전혜진(글),김준현(사진)",화성시
1,[이유영 낭독] 다정한 유전 _작은책,이유영,강화길,아르테
2,저스트 어 모멘트,이나리,이경화,탐
3,사춘기라서 그래,조현정,이명랑,탐
4,[단편] 헤엄치는 밤,최인영,한유주,미디어창비
5,[단편] 펄럭이는 종이 스기마쓰 성서,박솔뫼,박솔뫼,미디어창비
6,[단편] 돼지 먹이,김보나,듀나,미디어창비
7,[단편] 어머니는 잠 못 이루고,권여선,권여선,미디어창비
8,[단편] 소여,구병모,구병모,미디어창비
9,들어본 이야기,"구병모,권여선,김보나,박솔뫼,최인영","구병모,권여선,듀나,박솔뫼,한유주",미디어창비
10,엄마는 행복하지 않다고 했다,장지연,김미향,넥서스BOOKS
11,니가 뭔데 아니 내가 뭔데,김단,후지타 사유리,넥서스BOOKS
12,아무도 모르는 기적,정승운,김주영,(주)문학과지성사
13,너의 거기는 작고 나의 여기는 커서 우리들은 헤어지는 중입니다,향기,김민정,(주)문학과지성사
14,청구회 추억 Memories of Chung-Gu Hoe,이인석,신영복,(주)돌베개
15,볼리비아 우표 - 오키나와 데이트,김단,강이라,산지니
16,볼리비아 우표 - 편서풍,김단,강이라,산지니
17,볼리비아 우표 - 어둠에 묻힌 밤,김단,강이라,산지니
18,볼리비아 우표 - 스위치,김단,강이라,산지니
19,볼리비아 우표 - 볼리비아 우표,김단,강이라,산지니
20,볼리비아 우표 - ch 41,김단,강이라,산지니
21,볼리비아 우표 - 명상의 시간,김단,강이라,산지니
22,볼리비아 우표 - 쥐,김단,강이라,산지니
23,볼리비아 우표,김단,강이라,산지니
24,"우리들, 킴 - 환대",나성지,황은덕,산지니
25,"우리들, 킴 - 불안은 영혼을,",나성지,황은덕,산지니
26,"우리들, 킴 - 열한 번째 아이",나성지,황은덕,산지니
27,"우리들, 킴 - 해변의 여인",나성지,황은덕,산지니
28,"우리들, 킴 - 글로리아",나성지,황은덕,산지니
29,"우리들, 킴 - 우리들, 킴",나성지,황은덕,산지니
30,"우리들, 킴 - 엄마들",나성지,황은덕,산지니
31,"우리들, 킴",나성지,황은덕,산지니
32,"프랑켄슈타인과 철학 좀 하는 괴물 - 괴물, 인간을 탐구하다","김민정,남도형,민승우",문명식,나무를 심는 사람들
33,타임머신과 과학 좀 하는 로봇,"채안석,김보나",이한음,나무를 심는 사람들
34,유희,민아,김소래,문학나무
35,안간힘,김시우,유병록,미디어창비
36,버드 스트라이크,신송이,구병모,창비
37,명시,전은희,안재성,미디어창비
38,리브 심플리,"남도형,남유정,민승우,신송이,이명희,이미나,정의한,채안석","빅초이,블리",소로소로
39,디디의 우산,황정은,황정은,창비
40,내일 쓰는 일기,최인영,허은실,미디어창비
41,경애의 마음,김금희,김금희,창비
42,아라비안 나이트,민아,작자 미상,현대지성
43,이별 연습,김난희,김성충,파랑비
44,거듭나기,김난희,김성충,파랑비
45,인연,김난희,김성충,파랑비
46,사랑은 아픔이다,김난희,김성충,파랑비
47,사랑이 남긴 시,김난희,김성충,파랑비
48,사랑을 탐하다,김난희,김난희,파랑비
49,"나, 열심히 살고 있는데 왜 자꾸 눈물이 나는 거니?",김하루,송정림,꼼지락
50,내 안의 스릴러,"김인,이승준,전종국","김민준,김용성,방진호,이상민,장은호",인사이트브리즈
51,시를 잊은 그대에게,정재찬,정재찬,(주)휴머니스트출판그룹
52,김용 대하역사무협 신조협려 하이라이트,전숙경 외 5명,김용,(주)김영사
53,백세일기,"김석철,이영혜,홍진욱,박상훈",김형석,(주)김영사
54,남아 있는 시간을 위하여,문관일,김형석,(주)김영사
55,어떤 양형 이유,정의한,박주영,(주)김영사
56,출근하는 당신도 행복할 권리가 있다,김기령,권대욱,리더스북
57,살고 싶다는 농담,신경선,허지웅,웅진지식하우스
58,SF는 정말 끝내주는데,이눈솔,심완선,에이플랫
59,오전을 사는 이에게 오후도 미래다 - 삶을 버티게 하는 가치들,이강선,이국환,산지니
60,나는 개성공단으로 출근합니다 - 개성에서 보낸 봄 여름 가을 겨울 이야기,권혜경,김민주,산지니
61,생각하는 사람들,남유정,정영선,산지니
62,주문을 틀리는 요리점,,오구니 시로,웅진지식하우스
63,좀머 씨 이야기,유석,파트리크 쥐스킨트,(주)열린책들
64,나만 몰랐던 이야기,"김혜윤,진양욱","김시영,김세훈",밀알복지재단
65,걸리버여행기,채안석,조너선 스위프트,현대지성
66,[서영화 낭독] 심장에 수놓은 이야기 _ 작은책,서영화,구병모,아르테
67,수레바퀴 아래서,안혜령,헤르만헤세,범우사
68,서머셋 몸 단편선,최진경,서머셋몸,범우사
69,김약국의 딸들,홍영란,박경리,와미디어
70,가을에 온 여인,최석환,박경리,마로니에북스
71,가설을 위한 망상,최석환,박경리,(주)나남
72,슬리피 할로우의 전설,강유경,워싱턴어빙,스튜디오 바운더리
73,곰스크로의 여행,지안,프리츠오르트만,스튜디오 바운더리
74,J. 하버쿡 젭슨의 진술,최정호,아서코난도일,도서출판 북스피어
75,[성진환 낭독] 나조차 나를 사랑하지 못하고,성진환,변종모,자음과 모음
76,[진철 낭독] 흰 티티새 이야기 (단편),진철,알프레드드뮈세,지식을 만드는 지식
77,"[남주희, 허준서 낭독] 내가 그린 히말라야시다 그림 (단편)","남주희,허준서",성석제,창비
78,일의 기쁨과 슬픔,조송희,장류진,창비
79,대도시의 사랑법,김목용,박상영,창비
80,[지우 낭독] 요정들 (단편),지우,샤를페로,지식을 만드는 지식
81,[지우 낭독] 장화 신은 고양이 (단편),지우,샤를페로,지식을 만드는 지식
82,[에이스 낭독] 잠자는 숲속의 공주 (단편),에이스,샤를페로,지식을 만드는 지식
83,[에이노 낭독] 상드리용 (단편),에이노,샤를페로,지식을 만드는 지식
84,[세인트반 낭독] 도가머리 리케 (단편),세인트반,샤를페로,지식을 만드는 지식
85,[바론 낭독] 거짓말 로봇 (단편),바론,정명섭,별숲
86,[황소윤 낭독] 말하는 떡갈나무 (단편),황소윤,조르주상드,지식을 만드는 지식
87,[오정연 낭독] 원통 안의 소녀 (단편),오정연,김초엽,창비
88,[프롬 낭독] 특이점을 지나서  (단편),프롬,김소연,별숲
89,[하민 낭독] 나는 엄마를 기다려요 (단편),하민 (ENOi),김리라,별숲
90,[진우 낭독] 기록되지 않은 이야기 (단편),진우 (ENOi),최영희,(주)사계절출판사
91,[제이키드 낭독] 알파에게 가는 길 (단편),제이키드 (ENOi),최영희,(주)사계절출판사
92,[어빈 낭독] 산골 소년과 노신사 (단편),어빈 (ENOi),박윤규,별숲
93,[라온 낭독] 하늘로 날아간 꼬마 열차 (단편),라온 (ENOi),박경태,별숲
94,[도진 낭독] 동박새를 사랑했네 (단편),도진 (ENOi),박윤규,별숲
95,[건 낭독] 그날의 인간 병기 (단편),건 (ENOi),최영희,(주)사계절출판사
96,가나에 아줌마,오정해,후카자와 우시오,아르띠잔
97,소설 제주,"전석순,김경희,이은선,윤이형","김경희,SOOJA,이은선,윤이형,구병모",아르띠잔
98,페인트,온새벽,이희영,창비
99,[윤도현 낭독] 바틀비 (단편),윤도현 (YB밴드),김태호,창비
100,[Young K 낭독] 페이퍼 컷 (단편),Young K (DAY6),최상희,(주)사계절출판사
101,[조문근 낭독] 누구나 가슴에 문장이 있다 (단편),조문근,김 언,팬덤북스
102,[최정윤 낭독] 웃어도 괜찮아 (단편),최정윤,김중미,창비
103,나를 돌보지 않는 나에게,정여울,정여울,(주)김영사
104,[정인성 낭독] 지상 최대의 쇼 (단편),정인성 (KNK),김희선,(주)자음과모음
105,[이동원 낭독] 2098 스페이스 오디세이 (단편),이동원 (KNK),김희선,(주)자음과모음
106,[오희준 낭독] 페르시아양탄자 흥망사 (단편),오희준 (KNK),김희선,(주)자음과모음
107,[박서함 낭독] 교육의 탄생 (단편),박서함 (KNK),김희선,(주)자음과모음
108,[김지훈 낭독] 라면의 황제 (단편),김지훈 (KNK 리더),김희선,(주)자음과모음
109,[장대현 낭독] 방과 후 지구 (발췌본),장대현 (레인즈),서윤후,팬덤북스
110,[안녕하신가영 낭독] 마음을 함께 해준다면 (단편),안녕하신가영,박하익,창비
111,[민수 낭독] 여름의 고양이 (단편),민수,최상희,창비
112,내가 누구를 두려워하리요,장한빛,임현수,규장
113,[소수빈 낭독] 연금술사의 돌 (단편),소수빈,조현주,창비
114,[정세운 낭독] 너만 모르는 엔딩 (단편),정세운,최영희,(주)사계절출판사
115,나의 첫 소년,남도형,손택수,창비교육
116,[박세진 낭독] 이사 (단편),박세진 (옥상달빛),정소연,창비
117,[김윤주 낭독] 재회 (단편),김윤주 (옥상달빛),정소연,창비
118,[길미 낭독] 망나뇽의 눈물 (단편),길미,박상영,창비
119,블랙코미디,유병재,유병재,비채
120,새벽의 방문자들,"장은영,김연아,김주리","하유지,정지향,박민정,김현,김현진",다산책방
121,퇴근할까 퇴사할까,김소형 외 3인,민선정 외 3인,더블유미디어
122,[류현경 낭독] 암송 _ 작은책,류현경,윤해서,아르테
123,[김대명 낭독] 세계의 호수 _ 작은책,김대명,정용준,아르테
124,[나인 낭독] 끝  (단편),나인 (온리원오브),김해원,창비
125,[준지 낭독] 보건실의 화성인 (단편),준지 (온리원오브),서진,창비
126,[규빈 낭독] 배꼽 (단편),규빈 (온리원오브),윤성희,창비
127,[유정 낭독] 내 맘대로 고글 (단편),유정 (온리원오브),김란,(주)사계절출판사
128,[LOVE 낭독] 전설의 동영상 (단편),LOVE (온리원오브),최영희,(주)사계절출판사
129,[리에 낭독] 지구인이 되는 법 (단편),리에 (온리원오브),권담,(주)사계절출판사
130,[MILL 낭독] 레트와 진 (단편),MILL (온리원오브),이안아,(주)사계절출판사
131,셰익스피어 4대 비극 - 맥베스,곽명화 외,윌리엄 셰익스피어,커뮤니케이션북스
132,셰익스피어 4대 비극 - 리어왕,곽명화 외,윌리엄 셰익스피어,커뮤니케이션북스
133,셰익스피어 4대 비극 - 오셀로,곽명화 외,윌리엄 셰익스피어,커뮤니케이션북스
134,셰익스피어 4대 비극 - 햄릿,곽명화 외,윌리엄 셰익스피어,커뮤니케이션북스
135,적게 자도 괜찮습니다,류승곤,쓰보다 사토루,(주)도서출판 길벗
136,[혜이니 낭독] 창가 앞에서 두번째 자리 (단편),혜이니,김민령,창비
137,[김동한 낭독] 누군가의 마음 (단편),김동한 (JBJ),김민령,창비
138,켄세라,오디오북 크리에이터 지안,채현선,에브리웨이
139,안녕 할리,장민혁,배상민,에브리웨이
140,남편을 죽이는 서른 가지 방법,강유경,서미애,에브리웨이
141,굿바이 파라다이스,김재록,강지영,에브리웨이
142,나는 마음 놓고 죽었다,은정,임선경,뮤진트리
143,[배다해 낭독] 세상의 모든 위로,배다해,윤정은,팬덤북스
144,[김동현 낭독] 상대의 법칙 (단편),김동현 (봅슬레이 선수),최양선,창비
145,[김아랑 낭독] 미식 예찬 (단편),김아랑 (쇼트트랙 선수),최양선,창비
146,[태호 낭독] 수영장 (단편),태호 (임팩트),최상희,(주)사계절출판사
147,[지안 낭독]무나의 노래 (단편),지안 (임팩트),최상희,(주)사계절출판사
