,keyword,0
0,목소리,1088
1,것,468
2,책,367
3,내용,329
4,수,319
5,오디오북,276
6,감사,190
7,생각,171
8,이야기,158
9,귀,139
10,때,127
11,작품,125
12,오디오,106
13,마음,104
14,듯,102
15,낭독,97
16,소설,96
17,연기,95
18,나,95
19,배우,88
20,집중,88
21,편안,88
22,저,86
23,배우님,78
24,사람,72
25,최고,71
26,작가님,69
27,앤,68
28,아이,66
29,컨텐츠,62
30,감동,62
31,말,59
32,글,59
33,성우,57
34,잘들었습니,55
35,시,55
36,앞,53
37,차분,52
38,유익,52
39,도움,50
40,성우분,49
41,기대,48
42,추억,48
43,진짜,47
44,구매,47
45,재밌,47
46,영화,47
47,시간,47
48,성우님,47
49,느낌,47
50,들었습니다잘,46
51,몰입,45
52,감정,45
53,응원,43
54,줄,43
55,재미,41
56,최민식,40
57,기억,39
58,우리,39
59,위로,38
60,아이들,38
61,매력,38
62,좋아요잘,37
63,완전,36
64,기분,36
65,방송,36
66,들,36
67,음성,35
68,지,35
69,데,35
70,삶,35
71,잘,34
72,공감,34
73,이해,34
74,흥미,32
75,몰입감,32
76,굿,32
77,일,32
78,명작,32
79,눈,31
80,전,31
81,팟빵,31
82,담배,30
83,처음,30
84,오발탄,30
85,드라마,30
86,소리,30
87,모습,29
88,추천,29
89,재밌네요,28
90,한번,28
91,좋아요목소리,28
92,사랑,28
93,필요,27
94,재밌어요,27
95,적,27
96,작가,27
97,시대,26
98,ㅎ,26
99,고양이,26
100,덕분,25
101,행복,25
102,궁금,25
103,이,25
104,세상,25
105,분,24
106,문학,24
107,딜리트,24
108,달력,24
109,하성운,24
110,좋네요목소리,24
111,부분,24
112,발음,24
113,엄마,23
114,오랜만,23
115,기회,23
116,경험,23
117,라디오,23
118,예전,22
119,스토리,22
120,차분한,22
121,콘텐츠,22
122,창조,22
123,내,22
124,잘들었습니다,21
125,제목,21
126,편,21
127,어른,21
128,잘듣겠습니,21
129,팬,21
130,작,21
131,들을게요,21
132,학창시절,20
133,배우들,20
134,잘들었습니다잘,20
135,거,20
136,기획,20
137,무엇,20
138,재밌게,20
139,듣겠습니다잘,20
140,대박,19
141,관심,19
142,힘,19
143,한편,18
144,생동감,18
145,인간관계,18
146,열하일기,18
147,뭔가,18
148,상상,18
149,시작,18
150,화이팅,18
151,그,18
152,한,17
153,옛날,17
154,효과음,17
155,왓섭님,17
156,설명,17
157,위,17
158,밤,17
159,선생님,17
160,정보,17
161,잘듣고,16
162,들었어요잘,16
163,저자,16
164,자신,16
165,훌륭,16
166,하나,16
167,이번,16
168,방법,16
169,좋네요잘,16
170,속,16
171,라면,15
172,끝,15
173,고민,15
174,만화,15
175,매력적,15
176,전달,15
177,톤,15
178,고전,15
179,따뜻,15
180,최민식님,15
181,일상,15
182,의미,15
183,중,15
184,좋아요너무,15
185,ㅎㅎ,15
186,주제,14
187,표현,14
188,세계,14
189,만,14
190,지금,14
191,감사합니다잘,14
192,상황,14
193,전쟁,14
194,팟캐스트,14
195,문화류씨님,14
196,님,14
197,인간,14
198,다음,14
199,감성,14
200,소재,14
201,분위기,14
202,익숙,14
203,동화,14
204,흥미로운,14
205,사람들,13
206,지루,13
207,감사합니다좋,13
208,강추,13
209,때문,13
210,잠,13
211,ㅠㅠ,13
212,요즘,13
213,오,13
214,다양,13
215,장발장,13
216,시절,13
217,번,13
218,따뜻한,13
219,누구,12
220,집중도,12
221,리뷰,12
222,ㅎㅎ잘,12
223,신선,12
224,흡입력,12
225,동현,12
226,잘들었어요,12
227,에피소드,12
228,한예리,12
229,여기,12
230,상상력,12
231,관계,12
232,대사,12
233,빨강머리,12
234,흥미진진,12
235,문성근,12
236,좋습니다잘,12
237,사마천,12
238,구독,12
239,새록새록,12
240,인생,12
241,딕션,12
242,자기전,12
243,가슴,12
244,뭐,12
245,다시한번,11
246,여름,11
247,공부,11
248,얘,11
249,확,11
250,이유,11
251,2권,11
252,그때,11
253,ㅜㅜ,11
254,감상,11
255,근데,11
256,애,11
257,라,11
258,부모,11
259,지식,11
260,대단,11
261,연기력,11
262,여행,11
263,후,11
264,대,11
265,공포,11
266,리,11
267,좋습니다목소리,11
268,좀머씨,10
269,이상,10
270,오늘,10
271,대화,10
272,안정적,10
273,최민식배우님,10
274,들었습니다목소리,10
275,문제,10
276,맛,10
277,청취,10
278,정확,10
279,마지막,10
280,주인공,10
281,좋아요듣기,10
282,중요,10
283,프로그램,10
284,구입,10
285,오싹,10
286,시인,10
287,종이책,10
288,어디,10
289,여행기,10
290,후회,10
291,ㅠ,10
292,듣다보,9
293,시선,9
294,자기,9
295,배우분,9
296,작품들,9
297,옆,9
298,이름,9
299,자,9
300,잼,9
301,접근,9
302,문성근님,9
303,북,9
304,소름,9
305,낮,9
306,첨,9
307,정말,9
308,버전,9
309,걸리버여행기,9
310,좋네요좋아요,9
311,보이스,9
