rating,author,celeb,robot,someone,author_%,celeb_%,robot_%,someone_%
1.0,5.0,5.0,9.0,44.0,0.2,0.1,0.4,0.6
2.0,2.0,17.0,6.0,12.0,0.1,0.4,0.3,0.2
3.0,0.0,2.0,5.0,7.0,0.0,0.0,0.2,0.1
4.0,2.0,16.0,5.0,15.0,0.1,0.4,0.2,0.2
5.0,7.0,10.0,9.0,27.0,0.3,0.2,0.4,0.4
6.0,12.0,131.0,39.0,109.0,0.6,3.1,1.7000000000000002,1.6
7.0,17.0,83.0,66.0,149.0,0.8,2.0,2.9000000000000004,2.1
8.0,74.0,615.0,278.0,586.0,3.6999999999999997,14.499999999999998,12.2,8.4
9.0,67.0,260.0,274.0,678.0,3.3000000000000003,6.1,12.0,9.700000000000001
10.0,1817.0,3098.0,1590.0,5331.0,90.7,73.1,69.69999999999999,76.6
