,index,review,sentiment
0,0,잘들었습니다.,0
1,1,내용 목소리 넘 좋습니다.,0
2,2,완전 내용도 장난 아니게 좋네요!! 그리고 목소리도 너무 좋아 집중해서 잘 들을 수 있어서 강추 강추!!,1
3,3,빠져드는 목소리입니다^^,0
4,4,목소리 너무 좋아요,0
5,5,좋네요,0
6,6,굿입니다,0
7,7,참 좋아요.,0
8,8,좋아요,0
9,9,좋은 내용입니다,0
10,10,단편 감사해요,0
11,11,잘들었습니다,0
12,12,잘들었습니다,0
13,13,잘 들어보겠습니다,0
14,14,즐청했읍니다,0
15,15,잘 들었습니다,0
16,16,짧지만 알찬 내용입니다,0
17,17,잘들었어요,0
18,18,너무 좋습니다!! *^^*,0
19,19,"사돈도 소설광이시니 든든하시겠어요
이번 단편 잘 들어볼게요^",1
20,20,좋아요,0
21,21,잘 들었습니다  응원합니다♥♥♥,0
22,22,좋아요,0
23,23,잘들었습니다,0
24,24,좋아요,0
25,25,감사합니다,0
26,26,다음이 더욱 궁금해지네요,1
27,27,잘들었습니다,0
28,28,잘 들었습니다,0
29,29,좋아요,0
30,30,듣고나니 많은 생각이 드는밤이네요,1
31,31,좋은내용 감사합니다.,0
32,32,깊은밤 드라이브 하고 싶네요,1
33,33,잘듣고갑니다,0
34,34,잘 들었습니다,0
35,35,잘들을께여,0
36,36,좋아요,0
37,37,좋아요,0
38,38,좋아요,0
39,39,잘 들었습니다,0
40,40,좋네요,0
41,41,잘들을께요,0
42,42,잘듣겠습니다,0
43,43,좋아요,0
44,44,좋아요! 잘듣겠습니다!!!,0
45,45,좋아요,0
46,46,듣기 편하네요,0
47,47,너무 좋아요,0
48,48,가을에 잘어울려요,0
49,49,잘 들었어요,0
50,50,좋아요,0
51,51,잘들었어요..,0
52,52,잘 들었습니다.,0
53,53,차분하면서도 흡입력이 있는게 참 듣기좋네요,1
54,54,감사합니다,0
55,55,좋아요,0
56,56,좋네요 감사합니다,0
57,57,좋아요,0
58,58,좋습니다,0
59,59,감사합니다,0
60,60,한편의 미스테리 영화를 보는 느낌이었어요,1
61,61,너무 좋네요,0
62,62,잘들었습니다,0
63,63,감사합니다,0
64,64,좋아요,0
65,65,gripping,0
66,66,모두 좋습니다.,0
67,67,굿 좋아하는 내용이네요,0
68,68,좋아요,0
69,69,목소리 너무 좋아요,0
70,70,좋아요,0
71,71,좋습니다,0
72,72,좋아요,0
73,73,좋아요,0
74,74,굿굿굿,0
75,75,잘들을게욥,0
76,76,고맙습니다,0
77,77,잘들었습니다,0
78,78,잘들었습니다,0
79,79,참신하네요. 재밌습니다!,0
80,80,잘들었어요^^,0
81,81,잘듵었습니다 ㅎㅎ,0
82,82,소재와 공간이 참신하네요,1
83,83,잘들었습니다,0
84,84,너무 좋습니다!! *^^*,0
85,85,사과 작가님 감사해요^,0
86,86,좋아요,0
87,87,잘들었습니다.,0
88,88,굿,0
89,89,잘 들었습니다  응원합니다♥♥♥,0
90,90,좋아요,0
91,91,잘들었습니다,0
92,92,아주조아요,0
93,93,좋아요,0
94,94,감사합니다,0
95,95,감사해요,0
96,96,잘듣고갑니다!,0
97,97,잘 들었습니다,0
98,98,잘 듣고 갑니다.,0
99,99,잘 듣고갑니다,0
