,nickname,created,review
0,김소연,2020.11.27 12:17,중간중간 알란의 과거 회상 파트는 약간 지루했지만 전체적으로 가볍게 듣기 좋았어요! 창문노인 제목만 알고 있던 책이었는데 들어보니 나름 재밌네요.
1,유영미,2020.11.29 10:44,4
2,전미선,2020.11.28 23:32,"잘들었습니다 
"
3,임종민,2020.11.26 16:43,다시 들어도 여전히 유익합니다.
4,김경용,2020.11.25 20:39,"내용이 편안하고 유익하네요.
잘 들었습니다."
5,hwajin.lee,2020.11.25 09:49,장사 안 하는 사람이 들어도 들을 만합니다~
6,유진선,2020.11.24 17:09,깐깐한 손익 계산은 오히려 장사 의욕에 방해가 된다며 개업 후 적어도 5개월 이후에 매출 추세를 체크해보며 마인드콘트롤을 해야한다는 조언은 백선생님의 오랜 경험이 있으므로 더욱 신뢰가 갑니다. 정말 어디서도 듣기 어려운 내용이라고 생각합니다.^^
7,이지혜,2020.11.24 12:57,장사하시려는 분들이 보심 정말 유용하실듯요. 일상생활에도 많은 도움이 됩니다.재밌기도 하구요
8,Kang,2020.11.23 21:48,백종원님은 요리사가 아니라 작가해야된다 진짜 대박 재미있다!!!!!!♡
9,덕수다방,2020.11.23 19:48,너무 좋았어요. 대청소하며 책 한권을 다 읽다니!! 집중도 되고 너무 너무 좋네요
10,김연실,2020.11.22 17:13,재미있게 잘들었어요~  성우분 목소리가 편안해서 좋았어요
11,마승연,2020.12.01 09:47,지명 인명 단체 꼭 그렇게 사실적이어야 했을까
12,이창복,2020.12.01 09:15,시간가는줄 모르고 재미있게 들었습니다. 사실같기고 허구같기도한 기발한 상상력 최고네요.
13,조은빛,2020.12.01 08:33,잘 들었습니다^^
14,전병섭,2020.11.30 23:31,오랜만에 책을 읽은듯  넘 좋네요
15,신민철,2020.11.30 23:06,"소설의 진행을 위한 우연성은 인정한다. 이로인해 개연성이 완전히 무너지지는 않으니.
그러나 사실과 진실, 픽션을 넘나드는 작가님께서 후반부의 시진핑과 김여정이 등장하는 부분에서 무엇을 표현하고 싶었는지는 모르겠다. 
이것은 사실도, 진실도, 픽션으로도 받아들여지지 않는 안타까운 부분이였다."
16,오영민,2020.11.30 20:20,요즘 상황하고 너무나도 딱 맞아떨어져서 더 현실감 있고 몰입도 잘 되었어요. 진짜로 이런 기술이 실현된다면 얼마나 좋을까요
17,L,2020.11.30 16:03,늘 생각치 못한 충격을 주십니다. 잘 들었습니다.
18,조세일,2020.11.30 05:47,잘 들었어요!!
19,이성우,2020.11.28 17:18,잘 들었습니다 
20,화성 도란도란 장미애,2020.11.26 21:03,"반도체가  바이러스를  잡는다
참신하고 현실이면 참으로 좋을거 같아요."
21,Sera Jo,2020.11.26 14:05,아 이건 진짜 미쳤다 ㅠㅠㅠ 너무 재밌어요. 작가님 작품 앞으로 쭉 읽어보려구요~ 직지 들으러 고고~!!! 
22,Kang,2020.11.25 23:29,역시 믿고 듣는 김진명작가님 소설입니다♡대한민국의 보물~~~><
23,Vicky,2020.11.25 16:08,내용이 중구난방! 집중도가 너무 떨어지고 개연성도 없고 넘 급조해서 쓰신건지.. 직지는 정말 재밌게 읽었는데 이건 너무 실망스럽네요 ㅜㅜ
24,최영민,2020.11.25 13:50,코로나바이러스를 소재로 하지말았어야..
25,주희,2020.11.25 13:00,생각지도 못했던 발상 그 자체에 별점 5점 입니다
26,김성현,2020.11.25 08:54,개연성도 없고 뜬금없네요;;fbi 인천공항 원나잇
27,김영준(아르페디엠),2020.11.25 00:13, 윌라 첫 소설이었는데 이렇게도 책을 볼수 있다는건 좋네요~ 책내용도 충문히 명작이네요
28,휘태,2020.11.24 20:08,직지도 바이러스X도  잘 들었어요~
29,전찬진,2020.11.24 16:42,"패러다임을 제시한 토마스 쿤이 과학을 정의한대로 과학진보의 역사가 합리적이고 논리적인 역사가 아님을 다시 한 번 느끼게 됩니다. 기존 정상과학과 뚜렷이 구분되는 작가의 새로운 패러다임에 놀라움과 재미를 느꼈습니다.
"
30,김동연,2020.11.24 10:43,재미있습니다! 
31,정재철,2020.11.23 20:42,정말 정말 재미있는책  몰입감최고
32,이승신,2020.11.23 20:23,"단순한 재미뿐 아니라 인류가 나아가야할 방향 까지 제시하신 작가님의 말에 가슴이 찡 했습니다
잘 들었습니다"
33,도하,2020.11.23 16:18,약자와의동행. . .  뭔감바이러스와 가까워진 느낌..
34,이유진,2020.11.23 14:08,집중이...잘 안되요ㅠ
35,권영미,2020.11.23 01:23,재미있게잘들었어요!!
36,김민서,2020.11.23 00:33,"라디오극장 분위기가 좋아서 빠르게 주말동안 완독했어요
새로운 방식으로 접근하는 바이러스X에 대한 인류의 자세를 배우고 갑니다
감사합니다 "
37,sancycat,2020.11.22 12:43,"와!  처음 듣는 오디오 북인데
푹 빠져서 들었네요
책 내용도 흥미롭고 재밌고요,
 성우님들 목소리도 흡입력있어서
시간가는줄도 모르고 끝까지 다 들어버렸습니다.
굳굳!!
"
38,임흥규,2020.11.22 11:04,바이러스엑스 상상만해도 무섭네요..김진명작가님의 상상력과..바이러스에대한 정확한 정보에 대해 감사드리고.충분히 가능성있는얘기로들리네요..언제나 처럼 건강하셔서 오래오래 좋은 책써주세요~♡
39,김연실,2020.11.22 00:58,직지를 넘 재미있게 들어서 작가님 작품 나왔기에 아무 망설임없이 들었어요. 요즘 세계적으로 최대의 관심사인 펜데믹을 주제로 해서인지 지루할틈 없이 흥미롭게 들었습니다. 중간중간 많은 생각들이 스치고 몰랐던 사실도 알게 되었네요. 마지막 엔딩 부분은 가상이지만 가슴 뭉클하고 희망적이어서 좋았어요^^
40,김종만,2020.11.21 21:09,"김진명 작가의 소설을 재미있데 읽곤 했지만 이번 바이러스 X 소설은 다소 실망스런 구성과 전개에 재미가 반감되었다.
코로나 시대에 편승하기 위해 급조된 느낌도 있고 쌩뚱맞게 S전자가 바이러스 진단 기기를 개발한다는 발상은 왜 하필이면 S전자를 선택했을까 하는 의구심마저 든다
좀더 진지하고 독자들의 가슴에 공감할 수 있는 소설로 만날 수 있기를 기대한다"
41,Philip,2020.11.21 18:58,솔직히 실망스러웠다. 지난번 직지는 읽을만했는데 코로나 시대에 맞춰 급조한 글로 보이고 반도체라는 설정이 너무 식상하다. 지난번 직지에서 하이닉스가 나온 설정도 괴이했는데 이번엔 삼성전자에 L이라는 캐릭터  이재용까지 등장시킨건 너무 간듯.  .
42,연문행,2020.11.21 17:51,집중해서 잘들었어요 
43,태양을거머쥔자,2020.11.21 17:28,운행거리길어지면서 윌라오디오북들으면서댕겨지루하지않내요
44,솔,2020.11.21 16:37,재밋써용 정치적 편향없이 집필하셔서 더 좋네용
45,SJ,2020.11.21 13:09,지금 상황과 비교하고 상상해 보면서 처음 부터 끝까지 너무 흥미진진한 나머지 단번에 들어버렸네요. 영화화 해도 좋을 것 같아요. 코로나 시대 작가만의 통찰력이 돋보이는 소설. 
46,Sue Choi,2020.11.20 23:36,현재시점과 맞닿은 사실적인 소재와 상황이 흥미를 유발하는 소설이네요 성우님들의 좋은 연기 덕분에 아주 재밌게 감상했습니다 
